Question	Words count	Misspeling count	Misspeling errored	Question Length
когда начаться великий отечественный война	5	0	0	42
куда веда том дорога вымостить благой намерениями	7	1	0	50
какой самый сухой место планета	5	0	0	31
чем болеть Жанна далее акр	5	2	0	26
в какой год состояться один русский революция	7	0	0	45
когда стартовать игра клевер	4	0	0	28
какой цвет глаз в в паутин	6	1	0	25
зимой летом один цвет	4	0	0	21
в какой год выйти один фильм зав единый война	9	2	0	43
в сериал Спартак кровь песок рабовладелец предложить Спартак вернуть жена	10	3	0	75
сколько палец собака кошка	4	0	0	26
как называться четыре часть серия игра	6	0	0	38
победа шахматный партия	3	0	0	23
в кок год родиться в и Ленин	7	1	0	28
какой эпизод выйти игра	4	0	0	23
столица Албания являться город	4	1	0	30
сколько знак до мажор	4	0	0	21
кто председатель клуб удивительный промысел одним энный цикл рассказ Гильберт честер тон	11	5	0	85
когда человек впервые побывать Антарктида	5	1	0	41
как звать убийца южанин верста	5	2	0	30
сколько леопардом дик Капри натренировать Оскар кл получить	8	6	0	58
сколько год длиться два мировой война	6	0	0	37
где мой российский рубль я выиграть отображаться баланс игра где деееееееееееньга	11	1	1	81
какой репер выступать бел дом приглашение	6	0	0	41
что перечисленный относиться число шедевр устный нематериальный культурный наследие ЮНЕСКО	10	1	0	90
что такой дурмана	3	1	0	17
какой слово называться сутки Марс	5	1	0	33
какой этот кислота содержаться ядро дикий миндаль	7	0	0	49
сколько год самый молодой покоритель гора Эверест	7	1	0	49
что означать поднять флаг здание букингемский дворец	7	0	1	52
назвать родина герой советский союз Елизавета иван чайки на	8	2	0	58
кто разрабатывать дизайн марка купа пупс	6	2	0	40
какой сыр использовать приготовление традиционный итальянский пирожное тирами	8	1	0	78
в какой год создать кв	5	1	0	22
когда родиться в в паутин	5	1	0	24
кто айвенго доносить энном роман вальтер скот	7	3	1	44
какой этот валюта самый дорогой	5	0	0	31
какой город один мир численность население год	7	0	0	46
как имя отчество почтальон печки	5	1	0	33
какой слой атмосфера самый высокий	5	0	0	34
кто написать картина который сов название получить импрессионизм	8	1	0	64
самый распространить валюта мир последний год это	7	0	0	49
как переводиться далее наш р	5	0	0	28
каков сумма угол треугольник	4	0	0	28
за из ставить оценка	4	0	0	20
сколько встречаться сколько встречаться старик золотой рыбка море сказка	9	0	0	72
кто один кричать фраза «эщкере»	5	0	0	31
когда отмечать день матерь земля	5	0	0	32
какой духов музыкальный инструмент использоваться симфонический оркестр	7	1	0	70
самый большой остров Россия	4	1	0	27
какой этот страна иметь официальный столица	6	0	0	43
в какой год Александр македонский захватить Москва	7	2	0	50
какой цвета символизировать траур Китай	5	1	0	39
общий вид линейный уравнение степень два неизвестный	7	0	0	52
как называться плод рябина	4	0	0	26
в какой субъект российский федерация наиболее высокий смертность население год	10	0	0	78
сколько полый квадратик шахматный доска	5	0	0	39
кто выиграло один чемпионат мир футбол	6	1	0	38
в какой перечисленный ниже страна отмечаться май	7	0	0	48
какой этот исполнительница самый популярный Россия	6	1	0	50
сколько золотой награда получить сборная Россия олимпиада Сочи год	9	2	0	66
как называться годовщина свадьба год совместный жизнь	7	0	0	53
что такой стример	3	1	0	18
самый популярный видеоблогер Россия	4	1	1	35
где находиться вулкан тятя	4	0	0	26
у король франк папин прозвище	5	1	0	29
как звать действующий тренер сборный Россия футбол	7	1	0	50
кто проживать день океан	4	0	0	24
в какой год появиться такой направление музыка рок музыка	9	0	0	57
что такой класифицификус	3	0	1	24
какой фильм относиться вселенная	4	0	0	32
сколько нуль квадриллион	3	0	0	24
какой техника числиться заводский индекс том	6	1	0	44
в какой год произойти крещение Русь	6	1	0	35
в какой климатический пояс находиться большой часть территория Россия	9	1	0	69
арбуз это ягода сказать многие дыня фрукт какой род	9	0	0	51
ежесуточно земля прибавлять вес сколько тонна	6	0	0	45
когда родиться Уильям шекспир	4	1	1	29
кто этот футболист германия	4	0	0	27
какой игра любить	3	0	0	17
что человек смочь съесть	4	0	0	24
в какой город жить кальсон	5	1	0	26
сколько приток насчитываться река Темза	5	1	0	39
в какой год футбольный клуб челки выиграло лига чемпион	9	2	0	55
географический карта вид сапог	4	0	0	30
как звать один директор организация щ и том вселенная травести	10	1	0	62
какой этот вид поцелуй не существовать	6	0	0	38
сколько автомобильный компания выпустить модель автомобиль	6	0	0	58
в какой год отменить крепостной право	6	0	0	37
кто один исполнить песня комаров	5	1	0	33
какой животный кот простокваши	4	1	0	31
какой пресноводный рыба традиционно иметь полосатый окрас	7	0	0	57
как называться пиратский флаг	4	0	0	29
мокшанин это	2	0	0	12
какой имя Сталин	3	1	0	16
как называться один корабль Петра первое	6	1	0	40
какой категория человек принимать член организация мес	7	1	0	55
кто правило сак массажем время союз перс	7	1	0	40
река который появляться ночью исчезать дн м	7	0	0	43
в какой год Москва стать столица Россия	7	2	0	39
кто президент США де год	5	2	0	24
какой перечисленный представитель эпоха возрождение жить Италия	7	1	0	63
с какой государство вестись северный война	6	0	0	42
в какой год основать московский университет	6	0	0	43
сколько город Россия	3	1	0	20
сколько сирота усыновить деки чан	5	1	0	34
как звать человек поднять знамя победа рейхстаг	7	0	0	47
кто забить гол назвать рука бог	6	0	0	31
какой самый близкий звезда земля	5	0	0	32
как звать российский репер баста	5	1	0	32
четко рытая страна численность население	5	2	0	39
кто написать сказка тереть апельсина	5	2	0	38
какой продукт век получить свой название земляной яблоко русский общество	10	2	0	75
что нельзя увидеть небо	4	0	0	23
в какой год основать кв	5	1	0	23
температурный шкала Цельсий основать деление часть диапазон температура таяние л д кипение вода кто уч юных один предложить использовать градуировка термометр событие	22	2	0	165
в какой год подписать киевский уния Польша кл	8	2	0	46
отец сын нести апельсин по сколько апельсин наш каждый	9	0	0	54
в какой год произойти ледовый побоище	6	0	0	37
как называться знаменитый торговый мост Флоренция	6	1	0	49
в какой год основать город курган	6	0	0	33
кто этот писатель с год свой книга	7	1	0	35
какой этот шахматный фигура сделать ход соседний клетка	8	0	0	55
жарко а зафиксировать самый высокий температура поверхность земля	8	0	0	65
один президент Россия	3	1	0	21
сколько позиция рука существовать классический танец	6	0	0	52
какой соединение комплементарный цитозин	4	0	0	40
что являться пример трофический связь популяция биоценоз	7	0	0	56
в средний век знатный дама подвешивать свой наряд шкурка животное кто ловить такой образ	14	0	0	88
у индеец североамериканский племя квакиутлый традиция брать деньга долг оставлять залог	11	1	1	86
что такой капризуля	3	1	0	18
сколько месяцев клевер	3	1	0	22
какой псевдоним французский певица изба ль жеффруа	7	1	1	51
какой прибор использоваться измерение угол расстояние	6	0	0	53
в какой год основать Санкт Петербург	6	2	0	36
в какой год основать компания	5	0	0	29
с помощь методика известный винный критик лука мацони оценивать вино	10	1	0	68
когда основать город великий Новгород	5	1	0	37
какой государственный праздник отмечать Казахстан декабрь	6	1	0	57
как переводиться русский язык имя последний император ацтек куаутемок	9	0	1	69
где можно посмотреть товар магазин	5	1	0	35
кто командовать парад победа год Москва	6	1	0	39
что испортить сегодняшний человек мнение волан	6	1	0	47
кто являться основатель стиль каратэ кекусинкай	6	0	1	47
как называться специальный тариф мегафон создать иностранный гражданин приехать Россия	10	1	0	86
какой цветок изображу наш флаг Калмыкия	6	2	0	38
как называться мультфильм который медведь пятачок сова ослик кролик тигру ль	10	2	0	75
какой язык программирование существовать	4	0	0	40
сколько клетка содержимый тело человек	5	0	0	38
у кто персонаж зав единый война советов меч фиолетовый цвет	10	3	0	56
кто являться действующий чемпион литр кий весовой категория	8	1	0	60
в страна расположить самый широкий мост мир	7	0	0	43
что Тель тонна метать тон пух	6	1	0	31
где находиться кузькин гора	4	1	0	27
какой прод собака похожий медвежонок	5	1	0	37
где перепрыгивать конь конь	4	0	0	27
какой песнь репертуар альбом группа	5	0	0	35
в сколько год погибнуть а с Пушкин	7	1	0	34
среди самый дорогой спортивный клуб мир вид спорт представить	9	0	0	61
какой река Шри Ланка течь восточный берег	7	2	0	41
когда родиться а с Пушкин	5	1	0	25
как называться шахматный метр который менять местами король ладья	9	0	0	65
как звать супер герой который защищать готам сити преступление	9	1	0	63
кто жена ос л	4	0	0	13
настоящее имя бокс р муха мед али	6	1	0	32
в команда выступать настоящий момент легенда российский футбол Андрей аршин	10	2	0	78
можно пользоваться компас луна	4	0	0	30
что мнение грибоедов страшный пистолет	5	0	0	38
в этот город новый год приходить ранний	7	0	0	39
что моряк брать себя дать кий плавание качество живой консервы	10	0	0	62
как называться ситуация мочь вспомнить слово крутиться языке	8	2	0	62
кто сын мамина подруга	4	1	0	22
какой инструмент использовать настройка пианино	5	0	0	47
плотность л д примерно равный плотность	6	0	0	39
какой пошлина ввести век Англия заставить мужчина пойти война	9	1	0	61
кто такой мила	3	0	0	14
что такой битком	3	1	0	18
как звать удав сказка уголь	5	1	0	29
круг какой цвет изобразить государственный флаг Япония	7	1	0	54
год крещение Русь	3	1	0	17
в какой этот соединение минимальный содержание углерод	7	0	0	54
какой российский мультфильм получить Оскар	5	1	0	42
какой этот число математика называть совершенный	6	0	0	48
как называться основный группа вести гонка	6	0	0	42
кто перечисленный дать классический определение такой философский понятие материя	9	0	0	81
какой млекопитающее животный относиться последний род яйцекладущий	7	0	0	66
озвучивать бамбара Уральск ирония судьба л кое паром	8	3	0	53
какой самый опасный альтернативный вселенная	5	0	0	44
сколько страна наш планета	4	0	0	26
назвать официальный столица государство республика натуру	6	1	0	56
сколько симфония написать март	4	1	0	32
чем накачивать мяч	3	0	0	18
в какой гордец прнпопреподать Джеймс нэйсмит придумать баскетбол	8	2	2	64
из сколько квадрат состоять шахматный доска	6	0	0	43
что делать нефть	3	0	0	16
как называться официальный система запись китайский иероглиф латинский буква	9	0	0	76
Пушкин	1	1	0	6
фамилия первое президент СССР	4	1	0	29
сколько зав зад большой медведица	5	2	0	31
какой цвета радуга иуда том голубой	6	1	0	34
какой два пассажир согласно правило международный автоперевозка находиться один ряд кресло салон само т	14	2	0	104
почему дать деньга ответить вопрос вопрос который правильно использовать жизнь вопрос аверса	12	1	0	92
кто этот акт р играть папа римский	7	0	0	34
в сколько город пройда том чемпионат мир футбол Россия	9	1	0	54
когда открыто первое мир метро	5	0	0	30
какой город являться столица Словакия	5	1	0	37
кто взять золотой мяч год	5	0	0	25
какой цветок краска нужно смешать получить пурпурный цвета	8	0	0	58
в какой год состояться референдум присоединение Крым Россия	8	2	0	59
единственный футбольный клуб суметь зашить титул лига чемпион Уфа	9	1	0	66
как расшифровываться аббревиатура КВН	4	1	0	37
кто написать музыка гимн российский федерация	6	0	0	45
какой этот остров принадлежать антильский остров	6	0	0	48
что говорить притягивать противник	4	0	0	34
в какой год Владимир паутин стать президент Россия	8	3	0	49
сколько полоса тельняшка моряк	4	0	0	30
кто играть Маша комедийный сериал «воронины»	6	1	0	44
какой море бывать мир	4	0	0	21
в какой год основать город Екатеринбург	6	1	0	39
какой этот формула являться формула перекись бензоил	7	0	0	52
в какой год создать игра	5	0	0	24
как называться атомный бомба сбросить город Нагасаки август	8	1	0	59
как звать медведь мистер бинт	5	1	0	28
какой вид сигарета представить существовать	5	0	0	43
где рак зимовать	3	0	0	16
какой заповедник находиться не территория российский федерация	7	0	0	62
какой право кроме жизнь свобода Томас джефферсон считать незыблемый	9	1	1	67
как звать один супруг Филипп орлеанский	6	1	0	39
кто мнение большинство игрок клевер бояться слон	7	0	0	48
какой род слово тюль	4	0	0	20
где находиться островок лангерганс	4	0	1	34
каждый год Турция ноябрь отмечаться день память ататюрк какой время	10	1	1	67
как звать дочь Юрий шатунов	5	1	0	27
что бояться трискатикафоб	3	0	1	25
как называться центральный элемент флаг южный Корея	7	1	0	51
диван ближневосточный литература называть	4	0	0	41
в день Казахстан провозглашаю наш независимый государство	7	2	0	56
под какой номер периодический система Менделеев расположить алюминий	8	1	0	68
какой перечисленный формула элемент съесть выпить	6	0	0	49
какой проводник иметь меньший сопротивление	5	0	0	43
кок год раздаться СССР	4	2	0	22
столица Черногория	2	1	0	18
год основание город Санкт Петербург	5	2	0	35
назвать научный название водяной часы	5	0	0	37
сколько грамм золото олимпийский медаль	5	0	0	39
в какой год основать город Красноярск	6	1	0	37
кто упасть дерево фильм кавказский пленница	6	2	0	44
с помощь художник Великобритания таим ползти выполнять свой работа	9	3	0	66
что нету кровь	3	0	0	14
в какой год изобарный литр джинсах джейкоб вис	8	3	1	45
сколько месяц год день	4	0	0	22
какой самый маленький город Россия	5	1	0	34
единица измерение радиоактивность служить	4	0	0	41
кто играть роль фермиона гарь плоттер	6	2	0	36
какой лошадиный фамилия известный чеховский герой	6	0	0	49
в какой год создать социальный сеть контакте	7	1	0	45
сколько отдел позвоночник человек	4	0	0	33
русский крестьянин говорить жаворонок приносить тепло а птица мнение приносить холод	11	0	0	84
в страна находиться самый высокий здание мир	7	0	0	44
сколько спутник солнце	3	0	0	22
такой «смайлик»	2	0	0	15
как звать шведский полководец участвовать невский битва год	8	0	0	59
какой клип элей набрать просмотр	5	1	0	34
какой температура нужный изготовление творог	5	0	0	44
сколько человек побывать луна	4	0	0	29
как расшифровываться название певец исп	5	1	0	39
что означать лютый прямоугольник герб город Шуя	7	2	0	46
какой один книга написать а Пушкин	6	1	0	34
сколько квадратный полый шахматный доска	5	0	0	40
кто согласно пословица хвалить сов болото	6	1	0	41
в страна придумать тест	4	0	0	23
какой алфавит состоять шесть буква	5	0	0	34
в многий бар клуб вена установить автоматический вытрезвители что себя представлять	11	2	0	85
как называться один мир само том сконструировать построить брат рай год	11	2	0	73
какой современный государство называться Родезия	5	1	0	48
кто поймать плена Жанна далее акр	6	2	0	33
как звать дракон дейтерию таргарийный сериал игра престолов	8	2	1	60
кто традиция персонально приветствовать биржи р симфонический оркестр	8	1	0	69
какой король Жанна далее акр помочь взойти престол	8	2	0	50
сколько страница паспорт гражданин российский федерация	6	0	0	55
кто греческий мифология построить лабиринт остров Крит	7	1	0	54
в область Россия год упасть метеорит	6	1	0	36
какой звезда ночное небо самый яркий	6	0	0	36
сколько год длиться столетний война	5	0	0	35
как называться сей совершенный вратарь сборный Колумбия футбол рено гита год	11	4	0	77
кто один женщина программист	4	0	0	28
на какой место сборная Россия футбол рейтинг	7	1	0	44
как звать черепашка сериал	4	0	0	26
город Владивосток находиться берег	4	1	0	34
как привыкнуть рисовать лайки кв	5	3	0	34
сколько год правило Екатерина российский империя	6	1	0	48
какой фамилия джульетта повесть роме джульетта»	6	1	2	49
в какой год родиться Михаил Юрий ремонтов б	8	3	0	44
пожалуйста умолять вернуть спикер клевера я накопить нужный сумма пропасть очень разочаровать пожалуйста вернуть спикер хотя завтрашний старим клевера пожалуйста	20	6	0	164
кто нэп исполнитель один выпустить двойной альбом история	8	1	0	57
где построить один мир атомный электростанция	6	0	0	45
что не относиться триада протопопов	5	0	0	35
на какой инструмент любить играть брелок Холмск	7	2	0	46
в какой год распасться советский союз	6	0	0	37
сколько	1	0	0	7
российский мультфильм удостоить «оскара» это	5	0	0	44
кто сын Гитлер	3	1	0	14
на какой материк встретить дикорастущий картофель	6	0	0	49
в страна пробурить один промышленный нефтяной скважина	7	0	0	54
кто доказать великий теорема ферма	5	0	0	34
как называться сердечный клапан находиться правый предсердие правый желудочек	9	0	0	77
какой русский писатель работать врач год	6	0	0	40
какой особенность памятник Петра стоящий напротив инженерный замок Петербург	9	2	0	76
как писаться формула серный кислота	5	0	0	35
самый высокий действующий вулкан Евразия находиться	6	1	0	51
кто животное спать стоя	4	0	0	23
называться один компьютерный сеть	4	0	0	33
сколько общий сложность год править в в паутин	8	1	0	45
в какой фильм сыграть главный роль Юрий деточки	8	2	0	48
на сколько вопрос нужно ответить клевер выиграть	7	0	0	48
в страна изобрести сахарный вата	5	0	0	32
в какой год начать работа ленинградский метрополитен	7	0	0	52
у гонщик страна победа чемпионат мир класс формула	8	1	0	51
какой язык программирование не существовать	5	0	0	43
кто бросить пергамент имя Гарри плоттер кубок огонь	8	2	0	50
кто являться действующий президент южный Корея	6	1	0	46
в ветка нация исследуться танк игра	6	0	1	35
предводитель грек троянский война	4	0	0	33
на планета солнечный система находиться гора Олимп	7	1	0	50
сколько весить слон	3	0	0	19
веранда часто называть	3	0	0	22
сколько доля составлять взад наш мозг	6	1	0	36
какой страна находиться север	4	0	0	29
плесень стать антибиотик	3	0	0	24
я день рождение подарить клевер рубль скидка покупка ар мани понимать это развод	12	1	0	79
королева арго кто выйти замуж год август	7	1	0	41
как называться роспись тело хна	5	0	0	31
символ какой ген р содержимый пересекаться ч точка	8	2	0	52
где один победа наполеон бона парт	5	1	0	33
в честь какой политика назвать один нападать сборный Коста рикш	10	2	0	62
сколько федеральный округ Россия	4	1	0	32
как называться крупный замкнутый водный метр	6	1	0	43
я ответить вопрос воспользоваться конусный жизнь денег сч т прислать	10	2	0	69
какой клуб английский премьер лига сезон проиграть один матч	9	0	0	60
какой этот кислота являться витамин	5	0	0	35
какой этот плод не являться ягода	6	0	0	33
сколько минута давать подумать за продолжительность дать игра	8	0	0	61
содержание какой животное зоопарк являться самый дорогой	7	0	0	56
у какой герой кино домашний питомец собака	7	0	0	42
в название какой палец рука японец использовать иероглиф «лекарство»	9	0	0	68
столица Мадагаскар	2	1	0	18
сколько человек изобразить картина леопардом вини тайный вечеря	8	4	0	65
что последний алиментный вопрос использовать жизнь	6	1	0	48
как называться линь проходить отрезка угол	6	0	0	42
как называться космический корабль фильм чужой	6	0	0	46
какой настоящее имя Гоша уценкою	5	2	0	32
в измеряться острота перец	4	0	0	26
когда открытый Антарктида	3	1	0	25
налог прибыль составлять	3	0	0	24
какой цвет джунгарик	3	0	1	20
какой известный человек год начать исследовать польза кокаин	8	0	0	60
четыре нота октав	3	0	0	17
какой геодезический прибор измерить перепад высота	6	0	0	50
в один экранизация сказка золушка говорить вместе мочь делать настоящий чудо	11	0	0	76
какой император отменить крепостной право Россия	6	1	0	48
сколько мнение дате алигьерь существовать круг ад	7	1	1	50
как задута президент Россия	4	3	0	27
в какой город пройти один матч чемпионат мир футбол	9	0	0	51
про тяж юность самый длинный пробка дорога	6	2	0	41
весь известно выражение тютелька тютелька означать тютелька	7	1	0	59
кто написать лунный соната	4	0	0	26
что неразрушимый ядро удариться неразрушимый стен	6	1	0	50
как называться один технология подошва кроссовок бренди	7	1	0	54
сколько глаз стрекоза	3	0	0	21
сколько месяц год иметь день	5	0	0	28
в какой год основать город Санкт Петербург	7	2	0	42
что есть обезьяна	3	0	0	17
как называться структурный единица костный ткань	6	0	0	48
какой цвета символизировать траур Китай	5	1	0	39
каков настоящее имя корней чукотский	5	1	0	36
какой этот язык являться официальный ООН	6	1	0	40
самый яркий звезда созвездие скорпион	5	0	0	37
какой жанр восточный литература называться «диван»	6	0	0	50
что коллекционировать один канцлер германский империя отток фон бисмарк	9	1	1	70
что объединять президент Эстония Литва молода	6	3	0	46
что такой франций	3	0	0	17
что небо	2	0	0	8
сигарета марка упоминаться известный стихотворение броский	6	1	0	59
сколько полный год папа римский Иоанн Павел	7	2	0	43
два название растение спатифиллум	4	0	1	33
как перевод русский язык звучать название фильм мамино	8	1	0	54
что изобрести создатель пуле т максим	6	1	0	38
назвать два глубина озеро мир	5	0	0	29
сколько составлять период полураспад тритий	5	0	0	43
кто выиграть лига чемпион	4	0	0	25
как называться животный вынашивать свой потомство желудок	7	0	0	57
где родиться а с Пушкин	5	1	0	23
к какой тип зав зад относиться наш солнце	8	2	0	39
сколько золото золотой олимпийский медаль	5	0	0	41
кто национальность великий Мария кюри	5	1	0	37
автор доносить энный черта южный прибор основатель доносить ноной фирма	10	5	0	66
как звать персонаж который сыграть джеффри дик моргана сериал ходячий мертвец	11	2	1	75
на какой канал присутствовать опасный генри	6	0	0	43
сколько фильм данный момент насчитывать кинематографический вселенная	7	0	0	69
кто животное изобразить герб город Тюмень	6	1	0	41
кто совершить один мировой история таран само тот	8	1	0	50
когда отмена крепостной право	4	0	0	29
один двенадцать патриарх Израиль	4	1	0	32
какой телешоу не литр арт метр хворостин	7	1	0	42
какой страна численность население превышать Россия	6	1	0	51
какой сочетание клавиша скопировать дать	5	0	0	40
что такой петрикор	3	0	1	18
сколько слой кожа человек	4	0	0	25
рубль	1	0	0	5
как звать талисман московский планетарий	5	0	0	40
сколько станция насчитывать омский метрополитен	5	0	0	47
когда погибнуть честер беннингтон солист группа	6	0	1	47
сколько год год	3	0	0	15
аранжировка произведение какой композитор являться гимн лига чемпион	8	0	0	68
кто главное герой фильм форсажа	5	0	0	31
какой порода кот фермиона живоглот	5	1	0	34
какой заяц не бывать	4	0	0	20
кто отменить крепостной право	4	0	0	29
кто ездить автомобиль номерной знак	5	0	0	35
какой химический формула иметь газ озон	6	0	0	39
кто животное один полететь космос	5	0	0	33
какой страна находиться рейтинг производство уран первое место	8	0	0	62
в какой год родиться а с Пушкин	7	1	0	31
сколько планета солнечный система	4	0	0	33
в какой единица измеряться ток	5	0	0	30
как называться группа писатель поэт который входить Джек крупка керн кизяк Уильям берроуз	13	5	1	87
в какой возраст скончаться пургене	5	1	0	35
в какой город находиться балтийский флот	6	0	0	40
сколько глаз пчела	3	0	0	18
какой футбольный клуб впервые новый история выиграть кубок лига чемпион раз подряд	12	0	0	82
когда погибнуть поэт метр и ремонтов	6	1	0	37
что такой вал	3	0	0	13
сколько год длиться летний война	5	0	0	32
кто написать рассказ хоттабыча	4	0	1	30
какой город Россия самый западный	5	1	0	32
зачем кирпич отверстие	3	0	0	22
сколько кость уха	3	0	0	17
кто автор проект архитектурный памятник ласточкин гнездо	7	2	0	58
Александр великий завоевать половина мир	5	1	0	40
продолжить строчка известный песнь медуза медуза	6	1	0	48
что такой ликвидность	3	0	0	21
какой новый версия Самсон выйти	5	1	0	32
сколько струна скрипка	3	0	0	22
настоящее имя максим горький	4	0	0	28
сколько материк земля насчитываться буква а	6	0	0	43
в страна расположить город Пянджа	5	1	0	33
как звучать полный официальный форма Великобритания	6	1	0	51
кто официально сообщить радий советский народ нападение фашистка германия июнь год	11	0	0	82
что такой дебаркадер	3	0	0	20
как убрать уведомление приложение	4	0	0	33
какой этот современный город не находиться территория монгольский империя год	10	0	0	77
в какой штат находиться город	5	0	0	29
что изучать селенолог	3	0	0	21
какой норма вода человек день	5	0	0	29
какой этот вещество выделить ранний остальной	6	0	0	45
самый крупный грызун мир	4	0	0	24
какой уровень образование Владимир Илья Ленин	6	3	0	45
как записать вод таблица Менделеев	5	1	0	34
какой персонаж мультфильм приключение поротый Ника фунтик принадлежать фраза макака	10	2	0	82
кто являться обладатель золотой мяч год	6	0	0	39
изобрести ртутный градусник	3	0	0	27
как называть человек который собирать кубик рубки время	8	1	0	55
какой месяц короче	3	0	0	18
сколько квадратик сумма шахматный доска	5	0	0	39
какой город список являться город страна Турция	7	1	0	47
в парадный военный форма страна входить юбка	7	0	0	44
что Борис крути ер называть взятка вещественный доказательство	7	2	0	61
у сердце скользка фара	4	1	0	21
создать социальный сеть кв	4	1	0	26
сколько год исполниться народный артист СССР Владимир льдина год	9	3	0	66
назвать самый крупный площадь озеро мир	6	0	0	39
начать решение пример	3	0	0	21
что декабрь новый год окно свой дом выкидывать итальянец	9	0	0	56
кто считаться крупный представитель семейство кошачий	6	0	0	53
в какой год начаться мировой война	6	0	0	34
сколько год мартыненка Александра	4	1	1	33
что назвать честь далее и Менделеев	6	1	0	35
когда начаться мировой война	4	0	0	28
какой цвет кровь осьминог	4	0	0	25
как переводиться название фильм «мимино»	5	0	0	40
какой этот слово не обозначать врач	6	0	0	35
как называться продольный элемент конструкция корпус судный	7	0	0	59
кто этот человек не получать нобелевский премия мир	8	0	0	51
чем являться млечный путь	4	0	0	25
в отдельный океан выделять часть тихий атлантический индийский океан	9	0	0	68
как время сем одежный ваг выдающийся русский мореход называть тихий океан	11	2	0	71
июльский утром год ровно часы пара зарегистрировать брак загс берлинский район лихтенберг какой это число	15	0	1	105
сколько церковь объединять храм Василий блаженный	6	1	0	49
какой день мусульманин считаться выходной	5	0	0	41
что такой «сычуг»	3	0	0	17
имя бабушка иван грант известный актриса	6	1	0	41
кто создатель сервер	3	0	0	20
сколько холодное цветок радуга	4	0	0	30
какой самый длинный город Россия	5	1	0	32
сколько человек основный орган чувство	5	0	0	38
в часть тело располагаться мениск	5	0	0	33
когда принять женевский конвенция	4	0	0	33
сборная страна выиграть один официальный чемпионат Европа футбол год	9	1	0	68
сколько билет продать один день прокат фильм клуб миллиардер участие квинт спейся	12	1	0	81
кто Юлий Юлий клевер	4	2	0	20
кто командовать персидский армия фермопильский сражение	6	0	1	55
за какой английский команда играть футболист роман павлюченко	8	0	1	61
